black;grey;silver;white;brown;red;orange;gold;beige;yellow;green;turquoise;teal;blue;violet;purple;pink
;;;;;1;1;;;;;;1;;;;
;;;;1;;;;;;;1;;;1;;
1;;;1;1;;;;;;;;;;;;
1;;;;;;;;;1;;;;;;;
1;1;;1;;;;;;;;;;;;;
;;;1;;;;;;;1;;;;;1;
1;;;;1;;;;;;;;;;;;
1;;;;;;1;;;;;;;;;;
1;1;1;1;;;;;;;;;;;;;
1;;;;;1;;;;;;;;;;;
;;;;;;1;;;;;1;;;;;
;;;;;;;;;;1;;;1;;;
;;;1;;1;;;;;;;;;;;
;;;1;;;;;;;;;;;;;1
;;;1;;;;;;;;;1;;;;1
1;;;1;;;;;;;;;;;;1;
1;;;;;;;;;;;;;;;1;
1;1;;1;;;;;1;;;;;;;;
;1;;;;;;1;;;;;;;;;
1;;;;;;;;;1;;;;;1;;
1;;;;;;;;;;;;;;;1;
1;1;;1;;;;;;;;;;;;;
;;;;;1;;1;;;1;;;;;;
;;;;;;;;;1;;;;;;;1
1;;;;;1;;;;;;;1;;;;1
;;;1;;;;;;;;;1;;;;
;;;;;;1;;;;;;;1;;;
;1;;;;1;;;;;;;;;;;
;1;;;;;;;;;1;;;;;;
1;;;;;1;;;;;;;;;;;
;1;;;;;;;;1;;;;;;;
;;;;;;1;;;;;;1;;;;
1;;;;;;;;;;;;;;;1;
;1;;;;;;;;1;;;;;;;
;;;;;;;;;;;;;;1;;1
1;;;1;;;;;1;;;;;;;;
;;;;;;1;;;;;;;1;;;
1;;;;;;;;;1;;;;;;1;
;;;;;;;;;;1;;1;1;;;
1;;;;;1;1;;;1;;;;;;;
;;;;;1;;;;;;;;1;;1;1
;;;;;;;;;;;1;1;;;1;
;;;;;;1;;;;;;;1;;1;
;;1;;;1;;;;;;;1;;;;
;;1;;;;;;;;;;;;;1;
;;;;;1;1;;;;;;1;;;;
1;;;;;;;;;;;;;1;;;
1;;;1;;1;;;;;;;;;;;
1;;;;;1;;;;1;;;;;;1;
;;;;;;;;1;;;;1;1;1;;
1;1;;1;;;;;1;;;;;;;;
;;1;;;;;;;;;;;;1;;
;1;;;;;;;;1;;;;;;1;
;;;;;;1;;;;;;;1;;;
1;;;;;;;;;;;;;1;;1;1
;;;1;;;;;1;;;;;;;;1
;;;;;;;;1;;;;1;;;;
;;;;;;;;;;;;;;;;
1;1;;1;;;;;;;;;;;;;
;;;;;;;;;1;1;;;;;1;
;;;1;;;;;;;1;;;;1;;
;;;;;;;;;1;1;;;;;;
;;;;1;;1;;;;;;;;;;
1;;;;1;;1;;;;;;;;;;
;;;;1;;1;;;;;;;1;1;;
;;;;;;;1;;;;;1;;;;
;;;;;;;;;1;;1;;;;;
;;;;;;;;;;;1;;;1;;
1;;;1;;;;;1;;;1;;;;;
;1;;;;;;;;;1;;;;;;
1;;;;;;1;;;;;;;;;;
;;;;;;1;;;;;;;1;;;
;;;;;1;;;;;;;;1;;;
;;;;;1;1;;;;1;;1;;;;
1;1;;;1;;;;;;;;1;;;;
;;;;1;1;1;;;;;;;;;;
;1;;;;;;;;;1;;;;;;
;1;;;;;;;;;;1;1;1;;;
;;;;;1;1;;;;1;;;1;;;
;;;;;;;;;1;;1;;;;;1
;1;;1;;;;;;;;;;;;;
1;;;;;;1;;;;;;;1;;1;
;;;;1;;;;1;;;;;;;;
;;;;1;;;;1;;;;;;;;
;;;;;;;;;;1;;;;1;;
;;;1;;1;;;;;;;;;;;
;;;1;;;;;;;;;1;;;;
;;;;;;1;;1;;;;;;;;
;;;;;;;;;;;;1;1;1;1;
;;;1;;;;;1;;;1;;;;;
1;;;;1;;;;1;;;;;;;;
1;;;;;;1;;;1;;;;;;;
;1;;1;;;;;;;;;;1;;;
1;;;;;;;;;;1;;;;;;
;1;;;;1;;;1;;;;;;;;
1;;1;;1;;;;;;;;;;;;
;;1;;;1;;;;;;;;;;;
;;;;;;;;1;;1;;;;;;
;;;1;;;;;;;;;1;;;;1
;;;;;;;1;;;;;1;;;;
;;;;;1;;1;;;;;;;;;
1;;;1;;;;;;;;;;;;;
1;;;;;1;;;;;;;;;;;
1;;;;;1;;;;;;;;;;;
;;;1;;1;;;;;;;;;;;
1;;;;;;;;;;;;;;;1;
;;;;;1;1;;;;;;;;;;
1;;;;;1;;;;;;;;;;;
1;;;;;1;;;;;;;;;;;
;;;;;;;;;1;1;;;;;;
1;;;1;;;;;;;;;;;;;
;;;1;1;;;;;1;1;;;;;;
;;;;;;;;;;;;;1;;;1
;;;;;;;;;;1;;;;;1;
;;;;;1;;;;;;;;1;;;
1;;;1;;;;;;;;;;;;;
1;;;1;;;;;;;;;;;;;
1;;;;;;;;;;1;;;;;;
;;;;;;;;;;1;;;;;;1
;;;;;;;;;;1;;;;;;1
;;;;;;;;;1;;;;;;;1
;;;;;;;;1;;;;;;;;1
;;;;;;;;;1;;;;;;;1
1;;;;;;;;;;;;;1;;;
;;;;1;;;;;;;;;;;1;
1;;;;;1;;;;;;;;;;;
;;;;;1;;;;;;;;1;;;
1;;;;;;;;;;;;;;;;1
1;;;;;1;;;;;;;;;;;
;;;1;;1;;;;;;;;1;;;
;;;;1;;;;;;;;;;;;1
;;;;;;;;;1;;;;;;1;
;;;;;;;;;;;;;1;;;1
1;;;1;;;;;;;;;;;;;
;;;1;;1;;;;;;;;;;;
;1;;;;;;;;;;;;;;;1
1;;;;;;;;;;;;;1;;;
1;;;1;;;;;;1;;;;;;1;
;1;;;;;;;;;;;;;;;1
1;1;;;;;;;;;;;;;;;
1;;;;1;;;;;;;;;;;;
;;;;;1;;;;;1;;;;;;
;;;;;;1;;;;;;;1;;;
;;;;;;;;;1;1;;;;;;
;;;;;;1;;;;;;;1;;;
;;;;1;;;;;;1;;;;;;
